No,Journal Title,Publisher,ISSN,ISSNOnline,Year Inception,FoR,ABDC Area,2025 rating,หมายเหตุ,Scopus_Match_Key,Scopus_ISSN,Scopus_EISSN,Scopus_Title,Active or Inactive,Coverage,Titles Discontinued by Scopus,Source Type,"Top level:

Life Sciences","Top level:

Social Sciences","Top level:

Physical Sciences","Top level:

Health Sciences","1000 
General","1100
Agricultural and Biological Sciences","1200
Arts and Humanities","1300
Biochemistry, Genetics and Molecular Biology","1400
Business, Management and Accounting","1500
Chemical Engineering","1600
Chemistry","1700
Computer Science","1800
Decision Sciences","1900
Earth and Planetary Sciences","2000
Economics, Econometrics and Finance","2100
Energy","2200
Engineering","2300
Environmental Science","2400
Immunology and Microbiology","2500
Materials Science","2600
Mathematics","2700
Medicine","2800
Neuroscience","2900
Nursing","3000
Pharmacology, Toxicology and Pharmaceutics","3100
Physics and Astronomy","3200
Psychology","3300
Social Sciences","3400
Veterinary","3500
Dentistry","3600
Health Professions",Scimago_Match_Key,Scimago_ISSN,Scimago_EISSN,Scimago_Title,SJR Best Quartile,Scimago_Categories,Scimago_Areas,ASG_Match_Key,ASG_ISSN,ASG_Title,"Subject area AJG2024
lowest]",AJG 2024,หมายเหตุหลัก,หมายเหตุรอง1,หมายเหตุรอง2,หมายเหตุรอง3,หมายเหตุที่ทำให้ปรับ
1,4OR ,Springer Nature,1619-4500,1614-2411,2003	,3599,"Other commerce, management, tourism and services",B ,,1619-4500,1619-4500,1614-2411,4OR,Active,2003-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,Computer Science ,Decision Sciences ,,,,,,,,Mathematics ,,,,,,,,,,,1619-4500,1614-2411,1619-4500,4OR,Q1,Computational Theory and Mathematics (Q1); Management Information Systems (Q2); Management Science and Operations Research (Q2); Theoretical Computer Science (Q2),"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics",,,,,,,,,,
2,AACE International Transactions,AACE International,1528-7106,1528-7106,1967	,3599,"Other commerce, management, tourism and services",B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Abacus,Wiley-Blackwell Publishing,0001-3072,1467-6281,1965	,3501,"Accounting, auditing and accountability",A ,,0001-3072,0001-3072,1467-6281,Abacus,Active,1965-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,0001-3072,0001-3072,1467-6281,Abacus,Q2,Accounting (Q2),"Business, Management and Accounting",0001-3072,0001-3072,Abacus,Finance & Accounting,3,,,,,
4,Academia Economic Papers,"Institute of Economics, Academia Sinica",1018-161X,,1973	,3801,Applied economics,C ,,1018-161X,1018-161X,1810-4851,Academia Economic Papers,Active,2018-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,1018-161X,1810-4851,1018-161X,Academia Economic Papers,Q4,"Economics, Econometrics and Finance (miscellaneous) (Q4)","Economics, Econometrics and Finance",,,,,,,,,,
5,Academy of Management Annals,Academy of Management,1941-6520,1941-6067,2008	,3507,"Strategy, management and organisational behaviour",A* ,,1941-6520,1941-6520,1941-6067,Academy of Management Annals,Active,2010-2026; 2007-2008,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,1941-6520,1941-6520,1941-6067,Academy of Management Annals,Q1,Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting",1941-6520,1941-6520,Academy of Management Annals,General & Strategy,4*,,,,,
6,Academy of Management Discoveries,Academy of Management,2168-1007,,2015	,3507,"Strategy, management and organisational behaviour",A*,,2168-1007,,2168-1007,Academy of Management Discoveries,Active,2019-2025,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,2168-1007,2168-1007,,Academy of Management Discoveries,Q1,Business and International Management (Q1); Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting",2168-1007,2168-1007,Academy of Management Discoveries,General & Strategy,3,,,,,
7,Academy of Management Journal,Academy of Management ,0001-4273,1948-0989,1958	,3507,"Strategy, management and organisational behaviour",A* ,,0001-4273,0001-4273,,Academy of Management Journal,Active,1975-2026; 1973; 1970-1971; 1966-1968; 1961,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,0001-4273,0001-4273,,Academy of Management Journal,Q1,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)","Business, Management and Accounting",0001-4273,0001-4273,Academy of Management Journal,General & Strategy,4*,,,,,
8,Academy of Management Learning and Education,Academy of Management ,1537-260X,1944-9585,2002	,3507,"Strategy, management and organisational behaviour",A* ,,1537-260X,1537-260X,,Academy of Management Learning and Education,Active,2005-2026; 2003,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,,1537-260X,1537-260X,,Academy of Management Learning and Education,Q1,Education (Q1); Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting; Social Sciences",1537-260X,1537-260X,Academy of Management Learning and Education,Education,4*,,,,,
9,Academy of Management Perspectives,Academy of Management ,1558-9080,1943-4529,1987	,3507,"Strategy, management and organisational behaviour",A ,,1558-9080,1558-9080,,Academy of Management Perspectives,Active,2006-2025; 1987-1994,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,1558-9080,1558-9080,,Academy of Management Perspectives,Q1,Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1),"Business, Management and Accounting",1558-9080,1558-9080,Academy of Management Perspectives,General & Strategy,4,,,,,
10,Academy of Management Review,Academy of Management ,0363-7425,1930-3807,1976	,3507,"Strategy, management and organisational behaviour",A* ,,0363-7425,0363-7425,,Academy of Management Review,Active,1993-2026; 1976-1991,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,0363-7425,0363-7425,,Academy of Management Review,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)","Business, Management and Accounting",0363-7425,0363-7425,Academy of Management Review,General & Strategy,4*,,,,,
11,Academy of Marketing Studies Journal,Allied Business Academies,1095-6298,1528-2678,1980	,3506,Marketing,B,,1095-6298,1095-6298,1528-2678,Academy of Marketing Studies Journal,Inactive,2008-2016,Discontinued by Scopus,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Accident Analysis and Prevention,Elsevier ,0001-4575,1879-2057,1969	,3509,"Transportation, logistics and supply chains",A* ,,0001-4575,0001-4575,1879-2057,Accident Analysis and Prevention,Active,1969-2026,,Journal,,Social Sciences,Physical Sciences,Health Sciences,,,,,,,,,,,,,Engineering ,,,,,Medicine ,,,,,,Social Sciences ,,,,0001-4575,1879-2057,0001-4575,Accident Analysis and Prevention,Q1,"Human Factors and Ergonomics (Q1); Law (Q1); Public Health, Environmental and Occupational Health (Q1); Safety, Risk, Reliability and Quality (Q1); Transportation (Q1)",Engineering; Medicine; Social Sciences,,,,,,,,,,
13,Accountancy Business and the Public Interest,Association for Accountancy & Business Affairs,1745-7718,,2002	,3501,"Accounting, auditing and accountability",B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Accounting & Finance Journal / Revista Contabilidade & Finanças,University of São Paulo,1519-7077,1808-057X,,3501,"Accounting, auditing and accountability",C,,1519-7077,1519-7077,1808-057X,Revista Contabilidade e Financas,Active,2015-2025,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,1519-7077,1808-057X,1519-7077,Revista Contabilidade e Financas,Q4,Accounting (Q4); Finance (Q4),"Business, Management and Accounting; Economics, Econometrics and Finance",,,,,,,,,,
15,Accounting Accountability and Performance,Griffith University,1445-954X,,1995	,3501,"Accounting, auditing and accountability",C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Accounting and Business Research,Taylor & Francis Online,0001-4788,2159-4260,1970	,3501,"Accounting, auditing and accountability",A ,,0001-4788,0001-4788,2159-4260,Accounting and Business Research,Active,1970-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,0001-4788,2159-4260,0001-4788,Accounting and Business Research,Q1,Accounting (Q1); Finance (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance",0001-4788,0001-4788,Accounting and Business Research,Finance & Accounting,3,,,,,
